观测,模拟,车流量,,,训练NSE,验证NSE
3.5,4.9541,0,2.11436,4,0.954927949,0.955235388
4.5,4.4827,0,0.0003,1,,
4.5,4.482387871,0,0.00031,1,,
5,4.766863987,0,0.05435,0.25,,
5,4.97825098,0,0.00047,0.25,,
4,3.978436604,0,0.00046,2.25,,
4,3.978967167,0,0.00044,2.25,,
6,5.968651339,0,0.00098,0.25,,
6,5.97558856,0,0.0006,0.25,,
5,4.973686665,0,0.00069,0.25,,
5,4.973271102,0,0.00071,0.25,,
2.5,2.482820412,0,0.0003,9,,
2.5,2.476032143,0,0.00057,9,,
4,3.973975867,0,0.00068,2.25,,
10,8.643066168,0,1.84127,20.25,,
10,9.975056976,0,0.00062,20.25,,
13,10.75365791,0,5.04605,56.25,,
13,12.97437713,0,0.00066,56.25,,
7.5,7.471519515,0,0.00081,4,,
7.5,7.214978158,0,0.08124,4,,
6.5,6.474244207,0,0.00066,1,,
6.5,7.053255707,0,0.30609,1,,
5.5,5.47235702,0,0.00076,0,,
5.5,5.473272637,0,0.00071,0,,
9,8.968601406,0,0.00099,12.25,,
9,8.968775392,0,0.00097,12.25,,
7.5,7.46756196,0,0.00105,4,,
4,3.97839655,0,0.00047,2.25,,
4,3.974171132,0,0.00067,2.25,,
6.5,5.534076035,0,0.93301,1,,
6.5,6.469590396,0,0.00092,1,,
6.5,6.47140035,0,0.00082,1,,
6.5,6.471483275,0,0.00081,1,,
5.5,5.460932776,0,0.00153,0,,
5.5,5.464960113,0,0.00123,0,,
5,4.972937211,0,0.00073,0.25,,
5,4.974571303,0,0.00065,0.25,,
7.5,5.741656929,0,3.09177,4,,
7.5,7.466810942,0,0.0011,4,,
4.5,4.470182255,0,0.00089,1,,
4,3.79629967,0,0.04149,2.25,,
4,3.973745868,0,0.00069,2.25,,
3,2.926752781,0,0.00537,6.25,,
3,2.974021614,0,0.00067,6.25,,
2.5,2.435410295,0,0.00417,9,,
2.5,2.478605477,0,0.00046,9,,
2.5,2.477081027,0,0.00053,9,,
2.5,2.477648828,0,0.0005,9,,
3.5,3.476959005,0,0.00053,4,,
3.5,2.943944065,0,0.3092,4,,
3,2.976906346,0,0.00053,6.25,,
,,,3.45928,76.75,,
,,,10.39658,232.25,,
